,text,favourite_count,retweet_count,created_at
28,Wow Cramer now bashing #NVDA too funny.   https://t.co/F698y0i626,0,0,2023-03-24 13:39:58+00:00
29,"#options
#OptionsTrading
https://t.co/wyfH3UuLP0
In early morning options action, equity names among the top 10 mos  https://t.co/YQYj79OX91",2,0,2023-03-24 13:32:55+00:00
30,$NVDA is a great short from here. AI is not going to save the world Mr. #Cramer Pay attention to the rest of the wo  https://t.co/3JIMXwlqJd,2,0,2023-03-24 13:05:09+00:00
31,$NVDA working its way into the top 10 most mentioned on wallstreetbets over the last 7 daysVia  https://t.co/xhti774pjy,0,0,2023-03-24 11:21:30+00:00
32,$NVDA seeing sustained chatter on 4chan over the last few daysVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/kuXjZzOraO,0,0,2023-03-24 10:31:20+00:00
33,"$NVDA #NVDA some huge call buying yesterday, haven t seen anything higher than $3.5M 2 weeks ago, that $8.5 million  https://t.co/SwKeWHRinR",0,0,2023-03-24 10:02:43+00:00
34,ES_F #ES_F Head &amp; Shoulders on the 4 hour chart new candle starts at 6AM $QQQ #QQQ  $NVDA #NVDA https://t.co/AflXDtB5sX,0,0,2023-03-24 09:58:54+00:00
35,"Not a good day as 50% sl was triggered but still managed some profits

#DowJones #HidenbergReport  https://t.co/6uHaLISaE3",1,0,2023-03-24 09:25:40+00:00
36,Ok you guys #QQQ and #NVDA watch it but I m favoring #QQQ https://t.co/svMlyRZzSB,5,1,2023-03-24 08:12:12+00:00
37,@GameofTrades_ No. stonk up. look at #NVDA,0,0,2023-03-24 07:50:51+00:00
38,"#HindenbergResearch next short idea could be #NVDA on below assumptions 

It s PE is high
Revenue is negative 
They  https://t.co/8kfCNnna1H",0,0,2023-03-24 05:59:02+00:00
39,"@PauloMacro I get it too, but I get the timing wrong, ha-ha
Short #NVDA",0,0,2023-03-24 05:07:47+00:00
40,"$NVDA - looking at this through an inverse shark harmonic lens. Confluence for a target at around $300, which would  https://t.co/MxfBUrq9ww",16,1,2023-03-24 04:54:28+00:00
41,"@1Powerplayer @RJRCapital Jim Cramer is bullish on #NVDA, so it is good sell signal now.",2,0,2023-03-24 04:37:11+00:00
42,$NVDA working its way into the top 10 most mentioned on wallstreetbets over the last 7 daysVia  https://t.co/PgHly0xTB7,0,0,2023-03-24 04:30:37+00:00
43,$NVDA one of the most mentioned on 4chan over the last 7 daysVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/bisEvW7aiu,0,0,2023-03-24 04:00:43+00:00
44,#nvda have not changed any drawings since January this went absolutely crazy since I posted this inverse head and s  https://t.co/gQEFpkpGGh,2,0,2023-03-24 02:55:41+00:00
45,"$NVDA #NVDA The inverse Will Smith smack today to keep this thing above resistance. 

Breakout continues. https://t.co/6bBi6lnBFx",157,10,2023-03-24 01:51:00+00:00
46,#NVDA Potentially at the top of the Tri. Inside Day. https://t.co/H1i45W7u4b,0,0,2023-03-24 01:43:18+00:00
47,"Rejection at the neckline.

Daily shows Yesterday was gravestone doji. Today was doji / inside bar.

#NVDA #AMD all rallying off AI news.",10,0,2023-03-24 01:24:06+00:00
48,$NVDA seeing sustained chatter on 4chan over the last few daysVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/42paxc7tD6,0,0,2023-03-24 01:20:17+00:00
49,Could everyone on fintwit please stop saying they are short #NVDA..... thank you.  https://t.co/9semOsKvv9,1,0,2023-03-23 22:55:46+00:00
50,"YouTube analysis: https://t.co/hTzgZUDcAp

- $QQQ equilibrium pattern is going to be key break for which direction  https://t.co/IN2V8hoHw6",1,0,2023-03-23 22:42:44+00:00
51,$NVDA seeing an uptick in chatter on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/sG8s457Afx,0,0,2023-03-23 22:19:51+00:00
52,NVDA maybe the most transformative technology company of our generation. They re 10-15 years ahead of everyone. Jen  https://t.co/wT3dv9Fuwr,2,1,2023-03-23 22:04:26+00:00
53,$NVDA FACTs: #NVDA is up 9 consecutive days and gapped up in 5 of those 9 days. Has any stock ever gapped up that m  https://t.co/HdcxrMAEqk,2,1,2023-03-23 21:41:12+00:00
54,"$AI - King of the hottest tech sector has perks.
Nice near 10% gain. 

Above all #movingaverages is a great thing -  https://t.co/jKyvdS0b90",2,0,2023-03-23 21:36:53+00:00
55,$NVDA - great things happen over the 8 and 20 #movingaverages as we see this use the lines as moving supports inste  https://t.co/dDLOHw9ope,0,0,2023-03-23 21:31:50+00:00
56,"$NVDA - Great things happen over all the moving averages - and silly as it sounds to wait, there are so many good g  https://t.co/jnIrStwJ8n",0,0,2023-03-23 21:29:28+00:00
57,#NVDA #NASDAQ100 updated. https://t.co/s6cCpukxnV https://t.co/juD6SIBNZx,0,0,2023-03-23 21:21:44+00:00
58,"Anyone who makes a bearish argument against #TSLA because of its stock price and therefore valuation, should take a look at #NVDA.",1,0,2023-03-23 21:05:10+00:00
59,$NVDA seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda  https://t.co/XvlwccF0ga,0,0,2023-03-23 20:49:45+00:00
60,"$NVDA DRIVING OVER EVERYONES PUTS $$$$$$$.
SHORTS ARE ALSO SELLING PUTS AGAINST THE STOCK TO AVERAGE UP.

NO SHORT  https://t.co/0thMu2U1yG",1,0,2023-03-23 20:25:28+00:00
61,Just noticed this on JNK. Looks just like the regional banking 1 before it puked into the depths of hell. Watch out  https://t.co/t41sE1BdMY,0,1,2023-03-23 19:25:58+00:00
62,"Back to basics trading still wins in this market. Classic EMA crossover, retest and rejection. AKA ""The Break, hook  https://t.co/wRivbSOqS6",1,0,2023-03-23 19:23:12+00:00
63,$NVDA seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda  https://t.co/L7gopWU4Mr,0,0,2023-03-23 19:19:26+00:00
64,$NVDA quick swing profit on #NVDA puts today. https://t.co/1UolWTJr4C,0,0,2023-03-23 19:06:55+00:00
65,$NVDA one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/OPL1OPSJdo#nvda  https://t.co/cgHuclOhKY,0,0,2023-03-23 18:09:13+00:00
66,"#NVDA such a beautiful chart, heikin ashi view, though RSI is getting hot https://t.co/et25Klcmwn",1,0,2023-03-23 17:50:46+00:00
67,#NVDA stock is being bullish because of the release of #chatgpt4  #ChatGPT,0,0,2023-03-23 17:33:35+00:00
68,A perfect cup is forming for #NVDA. Any downward moves are buying opportunities for those who are not currently in  https://t.co/ttpHsyLmI7,2,0,2023-03-23 17:25:09+00:00
69,Worst part about being a bear if this market crashes. Noone will care that you were right. No family members or fri  https://t.co/2c5BvTCnFC,1,0,2023-03-23 16:47:25+00:00
70,"#NVDA 

$289 resistance https://t.co/j0aFjBCXTQ",2,0,2023-03-23 16:43:56+00:00
71,My first day back from vacation and the GOAT delivers! YOU DROPPED THIS  !!! Thanks for the insight on all the cata  https://t.co/ec7srMeEaA,1,1,2023-03-23 16:38:13+00:00
72,99 count down signal on #NVDA &amp; 13 countdown signal on #NASDAQ triggered yesterday. 20 MA crossed below 100 MA on #SPX #SPY  ,1,0,2023-03-23 16:37:39+00:00
73,"$nvda #nvda is not a reserve currency, nor is it gold or Bitcoin.",0,0,2023-03-23 16:37:10+00:00
74,This is what it feels like big money is doing. Slam short dated calls to pump up stock or index. Sell small 1000 sh  https://t.co/RUaFbmtAlF,1,0,2023-03-23 16:16:25+00:00
75,That didn t take long. Apparently not everyone is excited about AI.   #ai #nvda #goog #msft https://t.co/VmioUGxlIc,4,1,2023-03-23 16:16:17+00:00
76,"$NVDA Before and After
 
More: 
https://t.co/WPhXhjWFeu #NVDA #StocksToBuy https://t.co/7Qxh7K5bGo",2,0,2023-03-23 15:50:33+00:00
77,Here are my thoughts on #NVDA https://t.co/tGaxDEan3P #stocks #tech,2,2,2023-03-23 15:33:56+00:00
78,$NVDA - #NVDA chart on @TradingView https://t.co/3wQgt1MDXU,0,0,2023-03-23 15:27:14+00:00
79,100% robotic price action. Yesterday FOMC sell off was obviously due to the big bulls having a company party and th  https://t.co/SE6eUKbsGJ,0,0,2023-03-23 15:16:09+00:00
80,"$NVDA #NVDA - Yesterdays daily candle and up 3.5% for the day???  ... ""Who hurt you""   https://t.co/13ImiBBzqE",0,0,2023-03-23 15:15:57+00:00
81,This is 1 of the best 0dte setups short I have ever seen. All that volume at 395 and 396 will be a magnet here. We  https://t.co/MQuQjSxnyN,0,0,2023-03-23 15:15:41+00:00
82,"NVDA is the next trillion dollar company.
#NVDA https://t.co/wzY3JNFpuc",0,1,2023-03-23 14:53:31+00:00
83,Serious question. Are humans really buying 275 calls expiring tomorrow and even 280 calls? I find that very hard to  https://t.co/bfJ57YK8jv,3,0,2023-03-23 14:44:10+00:00
84,"#NVDA 60% up from recommended price .
wait for next entry level very soon .
we can expect small correction this sto  https://t.co/dNBoX40bj5",0,0,2023-03-23 14:34:29+00:00
85,"#options
#OptionsTrading
https://t.co/wyfH3UudZs
In early morning options action, equity names among the top 10 mos  https://t.co/1gNotpQbAH",0,0,2023-03-23 13:35:43+00:00
86,if #NVDA $NVDA manages to cross and finish above 275.5 next target will be 289! https://t.co/eUi93QASmr,2,1,2023-03-23 13:33:38+00:00
87,#BREAKINGNews #NVIDIA #NVDA #NASDAQ100 #WTI #HK50 #ASIA #STOXX50 #QQQ #NASDAQ #NYSE #DAX --NVIDIA NEW PRICE TARGET  https://t.co/98kuwuPWhT,0,0,2023-03-23 12:50:13+00:00
88,"@AlessioUrban Nvda revenue 26 billion.
Berkshire revenue 300 billion

Nvda bigger market cap. Anyone buying Nvda he  https://t.co/MXQmEZydqa",4,0,2023-03-23 12:43:52+00:00
89,"$NVDA #NVDA Was this an intraday breakout to just stop out every short there was?

Or do we continue to the $300 ar  https://t.co/RsSeNtK6kE",0,0,2023-03-23 11:43:18+00:00
90,"Are you curious about non-violent direct action and its effectiveness in creating change?   
Learn more about non-v  https://t.co/2PFdD8xKPi",6,4,2023-03-23 10:51:56+00:00
91,$NVDA seeing an uptick in chatter on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/o7Psl5m9FP,0,0,2023-03-23 10:38:13+00:00
92,@SheepTrades   #NVDA $NVDA #NVIDIA May  be  or  Not  https://t.co/czMJViJOq1,0,0,2023-03-23 10:08:45+00:00
93,NVDA nasty drop in front of us - #NVDA chart on @TradingView https://t.co/p9sBiHrG1X,1,1,2023-03-23 09:24:21+00:00
94,$NVDA seeing an uptick in chatter on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/9lsyhOvhUJ,0,0,2023-03-23 09:08:10+00:00
95,February was a tough month for markets as US economic data pointed to rates that will likely stay higher for longer  https://t.co/KeJzDtg4Ce,0,0,2023-03-23 09:05:12+00:00
96,$NVDA one of the most mentioned on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/UZj2UklUUj,0,0,2023-03-23 07:37:52+00:00
97,"#NVDA closed higher on Wednesday, despite the market closing lower.

The 12-month Prediction for $NVDA has been rai  https://t.co/W4wXoDOk1q",0,0,2023-03-23 07:25:57+00:00
98,"  warm up guys  
$coin #NVDA #AAPL https://t.co/XFygloSLVt",0,0,2023-03-23 06:37:21+00:00
99,$NVDA one of the most mentioned on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/zAib1JXuCm,0,0,2023-03-23 05:07:37+00:00
100,#NVIDIA $NVDA #NVDA 230p .70avg 3/31exp,1,0,2023-03-23 05:00:31+00:00
101,Chill the fk every1 and short #nvda lol #HindenbergResearch,0,0,2023-03-23 04:59:59+00:00
102,"Nvidia stock hits best winning streak since 2007 as AI advantage called 'insurmountable'
#nvidiacorp #nvidia #nvda  https://t.co/udQAFwe4jf",0,0,2023-03-23 04:46:13+00:00
103,"What Happen In 17150 Call 

Buyers= 96%
Sellers= 3%

#DowJones #HidenbergReport #HidenbergResearch #StocksToBuy  https://t.co/t31RzfEpUv",2,0,2023-03-23 04:27:20+00:00
104,"#Nifty 
Above 17203.50:- 17257.70,17326.05,17412.40,17518.30
Below 17104.15:-17039.40,16972,16893.20

#DowJones  https://t.co/QcLeFCpcPH",2,1,2023-03-23 03:41:44+00:00
105,"#NiftyBank
Above 40121.70:- 40348.60,40622.25,40909.25
Below 39728.50:-39517.10,39139.40,38852.60

#DowJones  https://t.co/X5NuAEAlhe",3,0,2023-03-23 03:38:47+00:00
106,@OldManBlackSock Agreed...  But it has some people thinking after Raymond James put a $370 target on $#NVDA last mo  https://t.co/nCKdJ7UlKB,0,0,2023-03-23 03:32:15+00:00
107,Holy cow. https://t.co/4QftnfUepD #NVDA #NVIDIA,0,0,2023-03-23 03:24:30+00:00
108,"We're back in Australia and to celebrate, we've got a new 2023.1 Release Candidate! https://t.co/eBNkkaPLM9  As wel  https://t.co/R6O3aUvwuZ",7,9,2023-03-23 03:13:50+00:00
109,$NVDA - #NVDA chart on @TradingView https://t.co/dVbf8yip2x,1,0,2023-03-23 02:58:25+00:00
110,They are still buying the dip. The dip of the dip of the dip non stop dip buying. When will these dip buyers get pu  https://t.co/5WK0BXksBh,3,0,2023-03-23 02:54:20+00:00
111,$NVDA one of the most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda  https://t.co/qg11AyFd9C,0,0,2023-03-23 02:37:16+00:00
112,"[Update] $NVDA Daily. #NVDA inverse h/s pattern has met it's target + printed a shooting star, suggests a pullback  https://t.co/fh8XlkyPrP",24,7,2023-03-23 02:34:16+00:00
113,"Quantitative Trading Based on a Self-learning Algorithm: Returns up to 62.88% in 3 Months
https://t.co/iV0FLd3n85  https://t.co/Tc6KuVNe33",0,0,2023-03-23 02:00:39+00:00
114,"Quantitative Trading Based on a Self-learning Algorithm: Returns up to 62.88% in 3 Months
https://t.co/GCYJAyIc0U  https://t.co/ThAl1HRLrA",0,0,2023-03-23 02:00:39+00:00
115,"Quantitative Trading Based on a Self-learning Algorithm: Returns up to 62.88% in 3 Months
https://t.co/Tkte2sjcvZ  https://t.co/76j0ZRCGiC",2,2,2023-03-23 02:00:39+00:00
116,"Quantitative Trading Based on a Self-learning Algorithm: Returns up to 62.88% in 3 Months
https://t.co/790qLP1OM2  https://t.co/uDi2OgA3d2",0,0,2023-03-23 02:00:17+00:00
117,"Quantitative Trading Based on a Self-learning Algorithm: Returns up to 62.88% in 3 Months
https://t.co/gUUy4Fh4Tn  https://t.co/66tsPDFK6w",4,3,2023-03-23 02:00:17+00:00
118,$NVDA just printed a gravestone doji on the daily chart. Price is likely to reverse back down to its EMA cloud.  https://t.co/XxQ0lVwtQb,6,0,2023-03-23 00:53:59+00:00
119,"$NVDA #NVDA Was this an intraday breakout to just stop out every short there was?

Or do we continue to the $300 ar  https://t.co/9qsw7xHV8M",204,17,2023-03-23 00:49:23+00:00
120,"YouTube analysis: https://t.co/bK5IQFuFNZ

- Looking for a hourly Bear flag on $SPY and $QQQ after this huge move d  https://t.co/gB2LneoWgJ",2,0,2023-03-23 00:21:29+00:00
121,"@AMD We r lead the #market  
Only us with #nvda holding on new higher  
we r saving #usa market  
#AMD  https://t.co/UFvkq98qIT",0,0,2023-03-23 00:19:41+00:00
122,The Ratings Game: Nvidia stock hits best winning streak since 2007 as AI advantage called  insurmountable  https://t.co/LNd09hys3H,0,0,2023-03-23 00:08:30+00:00
123,"UNUSUAL PAPER #OptionsFlow
$NVDA
$300.00 PUT
EXPIRES = 05/19/2023
SIZE = 137
OI = 4
COST = $531,574
STOCK PRICE = $  https://t.co/w7MUZYWETE",0,0,2023-03-23 00:01:08+00:00
124,$NVDA seeing sustained chatter on 4chan over the last few daysVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/J3UGSdQTNK,0,0,2023-03-22 23:56:57+00:00
125,"@Mr_Derivatives I don't know what you're smoking, but $NVDA is on fire and headed for the moon. Bulls unite!   https://t.co/ZlMEGVVTnJ",0,0,2023-03-22 23:26:24+00:00
126,@MrnllMtt Why hold on to something that annoys you? Cut your losses and move on. There are plenty of other great st  https://t.co/kZFfBisvah,0,0,2023-03-22 23:10:06+00:00
127,@Jake__Wujastyk Smart move! Trust your instincts and don't miss out on potential gains. Keep a close eye on those i  https://t.co/TAhTwwR99U,0,0,2023-03-22 22:56:03+00:00
128,"Guess #NVDA showing a gravestone doji on the daily?

Right? https://t.co/7yMekXkigb",0,0,2023-03-22 22:41:41+00:00
129,"#Stocks making the biggest moves midday: @Nvidia, @firstrepublic, @Nike, @GameStop and more https://t.co/QHRwKpOYsN  https://t.co/2rfQBpwo9f",0,0,2023-03-22 22:06:28+00:00
130,"The contracts were only $7 each
 And they ran to $18 per contract

Imagine investing $1000
And walking away with $2  https://t.co/dkqfRYun8U",69,3,2023-03-22 22:04:27+00:00
131,"$NVDA Supply zone 

Pulling back...

#NVDA #TW0E https://t.co/pgpiIcjLAH https://t.co/rrZ2k9IzBx",2,0,2023-03-22 21:55:26+00:00
132,"Ok so here is what happened!!! 

Watch the whole video! You ll be blown away  
#NVDA https://t.co/hzb5DinI5l",121,7,2023-03-22 21:49:58+00:00
133,"Check out my #NVDA analysis on @TradingView: https://t.co/TxN471dR5F 

if you are following any idiot that asked yo  https://t.co/JeMYDlIKB6",0,0,2023-03-22 21:36:14+00:00
134,$NVDA seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda  https://t.co/WJCflF1y3G,0,0,2023-03-22 20:56:36+00:00
135,#NVDA Did the atm shut down? No more free money?,0,0,2023-03-22 20:34:02+00:00
136,"Daily recap -&gt; 3.22.2023 
 
Only (1) new alerted trade idea #TCFF and only continuation ones #NVDA Target 2 of 4 (+  https://t.co/iMBmsFB8Xe",0,0,2023-03-22 20:19:43+00:00
137,$NVDA seeing sustained chatter on wallstreetbets over the last few daysVia https://t.co/OPL1OPSJdo#nvda  https://t.co/9NjSkGtbHe,0,0,2023-03-22 20:16:39+00:00
138,WHAT A DAY. FOMC made the market rally while I was betting against it due to the status of the shit that s going on  https://t.co/9dFgIhSSMq,0,0,2023-03-22 20:07:15+00:00
139,#NVDA from $12 down to $3 gain today in a matter of minutes - thanks Fed!,0,0,2023-03-22 20:05:13+00:00
140,"Thanks Cramer

Made some money shorting 

Now #NVDA $264 https://t.co/IqDRZpXJll https://t.co/u0db7UsI98",2,1,2023-03-22 20:03:31+00:00
141,"Best pair trade ever. 
LONG BRK.B short NVDA.

#NVDA #brk.b #brk.a #berkshirehathaway #trading #stockmarkets #stockmarketcrash",1,0,2023-03-22 19:52:52+00:00
142,"@rektifried #NVDA no, if it drop pass that big support I would think $70. sorry didn't see your message still now.",0,0,2023-03-22 19:47:14+00:00
143,Bearish Semiconductors from here. #NVDA #SOXS,2,0,2023-03-22 19:46:42+00:00
144,"$NVDA #NVDA 
Should be a good point to take some off. 
https://t.co/vCw9dT9ER9",0,0,2023-03-22 19:45:20+00:00
145,"What does HON. stand for? 
Wrong answers only.

#Powell #Yellen #stockmarkets #SPY #SPX #qqq #tslaq #tsla #NVDA https://t.co/YilsPYBBX2",1,0,2023-03-22 19:23:49+00:00
146,"https://t.co/t6kVcSK6IH

Stock market:
$PALLAD +4.84%  
$AMD +4.31%  
$NVDA +3.9%  
$SILVER +3.48%  

$NKE -3.3%   https://t.co/XjyTaP8FIA",0,0,2023-03-22 19:00:03+00:00
147,Shorts are capitulating big time #nvda $nvda,0,0,2023-03-22 18:45:59+00:00
148,@frankoz95967943 They passed berkshire. I just looked. NVDA has a revenue of 26 billion and berkshire has a revenue  https://t.co/nSEZ3ZmJWb,1,0,2023-03-22 18:29:26+00:00
149,Nvidia 3mins engulfing bar showing Relative Strength to the Market. My Trading Plan is my Trophy. #NVDA #QQQ https://t.co/F5SXVokhu4,0,0,2023-03-22 18:02:32+00:00
150,  Last chance to scoop up some $AMD before it makes headway to 115 range #spy #tsla #qqq #nvda,0,1,2023-03-22 17:34:50+00:00
151,"Analysts Applaud Nvidia's AI Moves; #NVDA Stock Rises - #AI #Software #Services #InvestorsBusinessDaily 

https://t.co/fSVEiczQ95",0,0,2023-03-22 17:12:08+00:00
152,"$NVDA

It's reaching today its Inverted Head-and-Shoulder pattern target  

What's next?

#NVDA #semiconductors  https://t.co/E1cAMmRgzQ",19,2,2023-03-22 17:01:04+00:00
153,"$NVDA #NVDA For day traders out there. 

Pretty easy setup to manage risk w/ clear trigger.

Potential H&amp;S on 10-mi  https://t.co/FX8bVnRbKZ",125,9,2023-03-22 17:00:25+00:00
154,"https://t.co/t6kVcSK6IH

Stock market:
$PALLAD +4.11%  
$AMD +2.95%  
$PRX.AS +2.85%  
$NVDA +2.8%  

$NKE -2.3%   https://t.co/TGSzyAIYlq",0,0,2023-03-22 17:00:02+00:00
155,"Choppy market. 

#NVDA https://t.co/zZes7DIRMl",3,0,2023-03-22 16:25:33+00:00
156,"Check my ideas at: https://t.co/uuEz9pp3G9
#BTC  #BTCUSDT #eurusd #forex #nvda #nasdaq https://t.co/b9LQ9Nftn9",1,0,2023-03-22 16:15:43+00:00
157,Congratulations to $NVDA for becoming bigger than Berkshire Hathaway. Don't miss out on the chance to win amazing p  https://t.co/2h2DRDLkfG,0,0,2023-03-22 16:04:50+00:00
158,"Don't miss out on TEMU's giveaway! While $NVDA tests investors' nerves, you can relax and win prizes. Shop with TEM  https://t.co/5B0E1nA1TQ",0,0,2023-03-22 16:04:37+00:00
159,NVDA volitility could be coming - still eyeing $330 - #NVDA chart on @TradingView https://t.co/AIBTKTVWhA,1,0,2023-03-22 15:52:32+00:00
160,"Took a reversal on #NVDA as it didn't break down, anticipating the PDH/PMH/HOD breaks above. Ripped on volume and t  https://t.co/hxg9OGaHMc",3,0,2023-03-22 15:46:52+00:00
161,"Wow, $NVDA continues to dominate the market! Don't miss out on the chance to win a shopping spree at TEMU. Check ou  https://t.co/XLwZe55URQ",0,0,2023-03-22 15:45:32+00:00
162,"Despite irrationality, $NVDA is making a comeback. Don't miss out on TEMU's giveaway for tech enthusiasts! Shop now  https://t.co/fVoXJx663w",0,0,2023-03-22 15:45:24+00:00
163,I knew it was going to keep climbing. That's why I made the #NVDA play ;) once we reach that supply zone we may see  https://t.co/6ytFEN6wPY,0,0,2023-03-22 15:44:16+00:00
164,"Overall it seems. Stock market returns are not so good. 
 #NVDA  #Stocks #Capital https://t.co/cBruuAmW8J",0,0,2023-03-22 15:38:23+00:00
165,@Jake__Wujastyk Can't wait for the detailed thesis! Making decisions based on data and probabilities is essential i  https://t.co/K5wVYbQ2ve,0,0,2023-03-22 15:37:38+00:00
166,Trade $NVDA on TEMU while earning rewards! Check out the list of active fund distributions and join our giveaway fo  https://t.co/x9ZApCY8Je,0,0,2023-03-22 15:35:51+00:00
167,@StockMKTNewz Excited to see what groundbreaking innovations in AI and accelerated computing Jensen Huang and Nvidi  https://t.co/NPldy9OySR,0,0,2023-03-22 15:29:53+00:00
168,He is heavily down on his shorts now. Wonder who follows him into these shorts. Terrible stock picker isn't he  https://t.co/NSEstxFfxZ,1,0,2023-03-22 15:28:34+00:00
169,2nd picture is where I should have sold. 1st is where I realized I got geedy. DONT GET GREEDY! #NVDA #TRADING https://t.co/3WAcFoWmay,0,0,2023-03-22 15:19:13+00:00
